_uid_,id,state,county,month,day,hour,minute,ve_forms,persons,peds,nhs,road_fnc,route,sp_jur,harm_ev,man_coll,rel_road,lgt_cond,weather,not_hour,not_min,arr_hour,arr_min,hosp_hr,hosp_mn,sch_bus,cf1,cf2,cf3,fatals,day_week,drunk_dr,st_case,city,milept,year,tway_id,tway_id2,rail,latitude,longitud,road_fnc_1,streetid
790,71,42,101,9,18,0,30,1,3,2,1,13,3,0,8,0,1,3,2,0,29,0,31,0,46,0,0,0,0,2,7,0,420951,6540,46.000000000000000,2004,SR-611,SR-2016,0000000,40.001602779999999,-75.152936109999999,13,3542
476,72,42,101,9,16,6,19,1,2,1,1,13,3,0,8,0,1,4,1,6,20,6,24,0,0,0,0,0,0,1,5,0,420952,6540,83.000000000000000,2004,SR-611,99999999999999999999,0000000,40.054761110000001,-75.141308330000001,13,20604
477,73,42,101,12,6,9,25,1,2,1,0,13,3,0,8,0,1,1,1,9,24,9,30,9,52,0,0,0,0,1,2,0,420964,6540,21.000000000000000,2004,SR-4019,OGONTZ AV,0000000,40.068641669999998,-75.156788890000001,13,40722
791,74,42,101,5,21,3,3,1,1,0,1,11,1,0,25,0,3,3,1,3,3,3,8,3,31,0,0,0,0,1,6,0,421015,6540,229.000000000000000,2004,I-95,99999999999999999999,0000000,39.967447219999997,-75.132047220000004,11,39893
512,75,42,101,5,20,22,44,2,2,0,1,11,1,0,12,4,1,3,1,22,53,23,7,23,49,0,0,0,0,1,5,0,421016,6540,195.000000000000000,2004,I-95,99999999999999999999,0000000,39.923022220000000,-75.147711110000003,11,39887
792,76,42,101,6,24,18,39,2,5,0,0,16,6,0,12,4,1,1,1,18,40,18,45,19,13,0,0,0,0,1,5,0,421024,6540,0.000000000000000,2004,MORRIS ST,99999999999999999999,0000000,40.021061109999998,-75.167494439999999,16,39641
608,77,42,101,6,26,22,2,1,2,1,0,14,3,0,8,0,1,3,1,22,4,22,8,22,31,0,0,0,0,1,7,0,421025,6540,50.000000000000000,2004,SR-3015,99999999999999999999,0000000,39.979244440000002,-75.246272219999994,14,28831
300,78,42,101,8,22,21,13,1,3,2,0,16,6,0,9,0,1,3,1,21,12,21,17,21,38,0,0,0,0,1,1,1,421052,6540,0.000000000000000,2004,PRINCETON AV,HAWTHORNE ST,0000000,40.038483329999998,-75.051830559999999,16,25974
513,79,42,101,9,6,1,36,1,3,0,0,16,6,0,30,0,6,3,1,99,99,99,99,99,99,0,0,0,0,1,2,1,421067,6540,0.000000000000000,2004,SIXTYFIRST ST,99999999999999999999,0000000,39.918208329999999,-75.209072219999996,16,11802
108,80,42,101,9,1,4,18,2,3,0,0,16,6,0,12,3,1,2,1,4,19,4,24,4,41,0,0,0,0,1,4,1,421069,6540,0.000000000000000,2004,THIRTYTHIRD ST,MOUNT VERNON ST,0000000,39.964816669999998,-75.190266670000000,16,1167
8,81,42,101,10,3,16,40,2,2,0,0,16,6,0,12,5,1,1,1,16,46,16,50,17,11,0,0,0,0,1,1,0,421085,6540,0.000000000000000,2004,PARRISH ST,UNION ST,0000000,39.968586109999997,-75.202174999999997,16,37459
199,82,42,101,11,17,19,50,2,3,0,0,16,6,0,12,5,1,3,1,99,99,99,99,99,99,0,0,0,0,1,4,1,421087,6540,0.000000000000000,2004,RED LION RD,GANTRY RD,0000000,40.112308329999998,-75.047727780000002,16,32045
514,83,42,101,9,5,1,10,1,3,1,1,13,3,0,8,0,1,3,1,99,99,99,99,0,0,0,0,0,0,1,1,2,421132,6540,25.000000000000000,2004,SR-2001,99999999999999999999,0000000,39.923377780000003,-75.143169439999994,13,36819
